Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
955,8176,Paweł WIESIOŁEK,13 AUG 1991,POL,12,"National Stadium, Tokyo (JPN)",05 AUG 2021,1153,10.83,7.27,14.90,2.02,48.24,14.95,48.27,4.80,51.60,4:30.02
957,8175,Ricky BARKER,14 NOV 1969,USA,2,Ratingen (GER),30 JUL 1995,1153
957,8175,Francisco Javier BENET,25 MAR 1968,ESP,4,Praha (CZE),04 JUL 1999,1153,11.12,7.24,13.83,1.92,48.38,14.22,44.59,5.00,64.05,4:34.27
957,8175,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,4,Götzis (AUT),02 JUN 2002,1153,11.20,7.05,15.36,2.12,50.17,14.96,45.01,4.70,64.60,4:29.01
957,8175,Dominik DISTELBERGER,16 MAR 1990,AUT,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1153,10.71,7.25,13.76,1.94,48.47,14.45,43.93,5.00,59.97,4:34.21
957,8175,Cedric DUBLER,13 JAN 1995,AUS,2,"SOPAC, Sydney (AUS)",16 APR 2021,1153,10.84,7.47,12.76,2.09,48.42,14.32,43.60,4.90,58.44,4:43.89
962,8174,Mike MACZEY,28 SEP 1972,GER,8,"Népstadion, Budapest (HUN)",20 AUG 1998,1153,11.16,7.29,13.77,2.06,49.82,14.41,42.46,4.90,63.27,4:26.82
962,8174,Roman ŠEBRLE,26 NOV 1974,CZE,10,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1153,10.91,7.67,15.43,2.00,48.18,16.97,47.41,4.60,65.75,4:31.04
962,8174,Yordani GARCÍA,21 NOV 1988,CUB,4,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1153,10.89,7.05,15.19,2.05,48.94,14.52,43.96,4.86,62.89,4:45.52
962,8174,Mihail DUDAŠ,01 NOV 1989,SRB,1,Novi Sad (SRB),13 MAY 2016,1153,10.75,7.47,13.78,1.92,48.96,14.52,46.70,4.80,59.55,4:32.11
966,8173,Dave STEEN,14 NOV 1959,CAN,2,Edinburgh (GBR),28 JUL 1986,1153,11.14,7.40,13.22,2.02,48.45,14.91,43.62,5.00,60.18,4:22.65
966,8173,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Götzis (AUT),27 MAY 2001,1153,11.01,7.19,14.60,2.12,48.81,15.43,46.73,4.50,60.57,4:21.85
966,8173,Dmitriy KARPOV,23 JUL 1981,KAZ,1,Kladno (CZE),10 JUN 2012,1153,11.12,7.14,16.12,2.04,48.86,14.26,51.58,4.77,50.45,4:45.52
966,8173,Willem COERTZEN,30 DEC 1982,RSA,9,"Olympic Stadium, London (GBR)",09 AUG 2012,1153,11.09,7.17,13.79,2.05,48.56,14.15,43.58,4.50,64.79,4:26.52
970,8172,Kamil DAMAŠEK,22 SEP 1973,CZE,3,Tallinn (EST),29 JUN 1997,1153,11.15,7.35,15.46,2.01,48.30,15.15,44.40,4.80,58.56,4:26.08
970,8172,Dennis LEYCKES,20 APR 1982,GER,1,"Stadionring, Ratingen (GER)",27 JUN 2004,1153,10.97,7.19,13.73,1.98,47.92,14.43,41.39,5.10,59.49,4:28.94
970,8172,Romain BARRAS,01 AUG 1980,FRA,3,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,1153,11.20,7.11,15.20,1.94,49.52,14.20,43.38,5.05,62.09,4:29.30
970,8172,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",06 MAY 2012,1153,11.04,7.26,16.22,2.01,49.30,14.41,50.75,5.15,50.48,5:00.22
970,8172,Fredrik SAMUELSSON,16 FEB 1995,SWE,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1153,10.81,7.50,14.40,2.03,49.26,14.10,40.03,5.00,56.21,4:39.52
975,8171,Jon Ryan HARLAN,25 APR 1981,USA,1,"Austin, TX (USA)",12 JUN 2004,1153,10.89,6.97,15.80,2.03,48.82,13.85,41.87,5.00,61.07,4:56.81
975,8171,Larbi BOURRADA,10 MAY 1988,ALG,12,"Olympiastadion, Berlin (GER)",20 AUG 2009,1153,10.68,7.35,12.30,2.05,48.58,14.57,37.83,4.70,62.53,4:12.15
975,8171,Pierce LEPAGE,22 JAN 1996,CAN,2,Gold Coast (AUS),10 APR 2018,1153,10.62,7.44,13.98,2.07,47.81,14.71,43.90,4.90,58.24,4:58.00
978,8170,Thomas FAHNER,18 JUL 1966,GDR,3,Götzis (AUT),25 MAY 1986,1153,10.82,7.29,13.96,1.90,47.90,14.96,43.52,5.10,61.88,4:31.47
978,8170,Petri KESKITALO,10 MAR 1967,FIN,1,Helmond (NED),16 JUL 1989,1153,10.98,7.59,13.02,2.01,49.77,14.35,45.66,4.80,66.92,4:46.40
978,8170,Chris HUFFINS,19 APR 1970,USA,1,Winnipeg (CAN),25 JUL 1999,1153,10.47,7.57,14.87,2.06,49.46,14.44,46.97,4.60,59.73,5:09.55
978,8170,Roman ŠEBRLE,26 NOV 1974,CZE,3,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,1153,11.15,7.45,15.33,2.04,49.7,14.64,44.12,4.80,63.32,4:42.70
978,8170,Eelco SINTNICOLAAS,07 APR 1987,NED,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,1153,10.88,7.30,13.92,1.94,48.66,14.40,36.51,5.40,60.40,4:29.11
978,8170,Mikk PAHAPILL,18 JUL 1983,EST,17,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1153,11.33,7.12,14.87,1.99,49.84,14.54,47.57,5.00,62.89,4:33.16
978,8170,Janek ÕIGLANE,25 APR 1994,EST,1,"Kadrioru staadion, Tallinn (EST)",02 JUL 2017,1153,11.22,7.42,14.96,2.01,51.41,14.72,42.98,5.10,68.79,4:41.53
978,8170,Felix WOLTER,04 OCT 1997,GER,1,"Stade Philippides, Montpellier (FRA)",28 MAY 2023,1153,10.60,7.91,12.75,1.98,47.37,14.35,42.60,4.60,50.74,4:26.90
986,8169,Beiniamino POSERINA,06 NOV 1970,ITA,1,Formia (ITA),06 OCT 1996,1152,10.93,7.43,13.99,1.99,48.82,14.60,44.34,5.00,58.88,4:36.94
986,8169,Bryan CLAY,03 JAN 1980,USA,3,"Eugene, OR (USA)",22 JUN 2001,1152,10.50,7.54,13.28,1.98,48.81,14.16,46.72,4.50,57.96,4:38.93
986,8169,Michael NOLAN,22 SEP 1973,CAN,11,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1152,11.29,6.98,15.17,1.97,49.86,14.86,50.30,4.90,64.57,4:31.44
986,8169,Garrett SCANTLING,19 MAY 1993,USA,1,"Athens, GA (USA)",11 APR 2014,1152,11.02,7.02,14.05,2.07,49.84,14.43,46.09,4.95,66.69,4:48.02
990,8168,Dominik DISTELBERGER,16 MAR 1990,AUT,7,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1152,10.73,7.57,13.02,2.00,48.53,14.34,40.55,4.86,59.80,4:32.44
991,8167,Pavel TARNAVETSKIY,22 FEB 1961,URS,10,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1152,11.23,7.28,15.25,1.97,48.60,14.76,48.02,5.20,59.48,4:52.24
991,8167,Kip JANVRIN,08 JUL 1965,USA,1,"Maryville, MO (USA)",11 MAY 2001,1152,10.81,7.23,13.89,1.93,48.35,14.76,44.60,4.70,60.86,4:16.92
993,8166,Vasiliy KHARLAMOV,08 JAN 1986,RUS,1,"National Stadium, Shenzhen (CHN)",18 AUG 2011,1152,11.25,7.37,15.01,1.95,49.76,14.95,46.03,5.20,62.82,4:38.88
994,8165,Francisco Javier BENET,25 MAR 1968,ESP,2,Tallinn (EST),16 JUN 1996,1152,11.03,7.35,13.58,2.04,49.35,14.18,45.88,4.70,61.68,4:35.78
994,8165,Fredrik SAMUELSSON,16 FEB 1995,SWE,8,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1152,10.90,7.49,14.18,2.06,49.96,14.38,42.64,4.90,59.33,4:39.36
994,8165,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,1152,10.87,7.47,14.55,1.96,49.95,14.29,43.60,5.00,61.31,4:43.35
997,8164,William MOTTI,25 JUL 1964,FRA,7,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1152,11.42,7.13,15.44,2.12,50.44,15.02,50.58,4.70,67.50,4:48.89
997,8164,Thorsten DAUTH,11 MAR 1968,GER,7,Götzis (AUT),28 MAY 1995,1152,10.81,6.98,16.46,1.99,48.90,14.31,49.86,4.30,4.30,4:33.19
997,8164,Mikk PAHAPILL,18 JUL 1983,EST,9,"DS, Daegu (KOR)",28 AUG 2011,1152,11.28,7.12,14.76,2.02,50.65,14.54,47.16,4.90,66.40,4:35.41
997,8164,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,1,"Central Stadium, Kazan (RUS)",09 JUL 2013,1152,11.12,7.80,13.48,2.07,49.36,14.77,38.74,5.30,62.43,4:50.48
997,8164,Florian GEFFROUAIS,05 DEC 1988,FRA,1,Reims (FRA),12 JUL 2014,1152,11.07,7.23,15.11,1.93,48.91,14.86,44.55,4.60,63.75,4:16.02
1002,8163,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),26 MAY 1985,1151,11.21,7.61,15.20,2.20,49.09,15.02,40.20,4.00,66.48,4:26.57
1002,8163,Aleksandr POGORELOV,10 JAN 1980,RUS,1,Krasnodar (RUS),25 MAY 2002,1151
1002,8163,Ashley BRYANT,17 MAY 1991,GBR,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1151,10.89,7.70,14.20,1.97,49.69,14.69,42.52,4.50,67.54,4:31.86
1005,8162,Vitaliy ZHUK,10 SEP 1996,BLR,9,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1151,11.07,7.11,15.29,1.97,49.18,14.81,45.91,4.80,63.45,4:30.36
1006,8161,Christian SCHENK,09 FEB 1965,GDR,5,Basel (SUI),05 JUL 1987,1151,11.43,7.57,14.62,2.10,49.52,15.15,43.22,4.60,64.04,4:22.70
1006,8161,Dirk-Achim PAJONK,27 MAR 1969,GER,3,Lage (GER),16 JUN 1996,1151,10.78,7.35,14.35,1.98,48.38,14.54,42.00,4.70,55.90,4:18.58
1006,8161,Paul TEREK,20 OCT 1979,USA,8,Götzis (AUT),30 MAY 2004,1151,11.04,7.29,15.66,1.94,48.78,15.40,44.37,5.40,58.45,4:41.86
1006,8161,Eugène MARTINEAU,14 MAY 1980,NED,9,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1151,11.15,7.23,13.95,1.94,49.49,14.71,44.77,5.00,67.00,4:28.82
1006,8161,Damian WARNER,04 NOV 1989,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,1151,10.61,7.09,13.77,1.96,48.96,13.91,44.92,4.77,61.06,4:38.85
1006,8161,Eelco SINTNICOLAAS,07 APR 1987,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",03 MAY 2014,1151,10.94,7.27,13.98,1.86,48.81,14.31,43.38,5.25,61.82,4:35.23
1006,8161,Pierce LEPAGE,22 JAN 1996,CAN,3,Lima (PER),07 AUG 2019,1151,10.51,7.64,14.35,2.00,47.74,14.15,38.85,5.10,54.57,5:01.67
1006,8161,Paweł WIESIOŁEK,13 AUG 1991,POL,8,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1151,10.75,7.38,14.46,1.97,49.47,14.84,46.27,5.00,56.58,4:35.70
1006,8161,Joe DELGADO,08 JAN 1995,USA,5,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1151,10.73,7.34,14.10,1.96,48.48,14.96,43.92,4.75,58.69,4:20.93
1015,8160,Ramil GANIYEV,23 SEP 1968,EUN,8,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1151,10.97,7.49,14.35,2.12,49.30,14.78,45.08,4.90,54.70,4:42.20
1015,8160,Benjamin JENSEN,13 APR 1975,NOR,1,Roskilde (DEN),01 AUG 1999,1151,10.86,7.21,13.50,1.97,49.54,14.50,43.83,5.30,59.01,4:34.84
1015,8160,Keisuke USHIRO,24 JUL 1986,JPN,1,Wakayama (JPN),01 MAY 2016,1151,11.32,7.18,15.13,2.02,50.36,15.00,48.12,4.90,66.71,4:37.77
1015,8160,Timothy DUCKWORTH,18 JUN 1996,GBR,5,"Olympiastadion, Berlin (GER)",08 AUG 2018,1151,10.65,7.57,13.61,2.17,49.87,14.55,41.94,5.10,54.78,4:58.28
1015,8160,Tim NOWAK,13 AUG 1995,GER,2,"Stadionring, Ratingen (GER)",08 MAY 2022,1151,11.34,7.09,15.17,2.07,50.04,14.76,44.62,5.00,57.95,4:21.31
1020,8159,Eelco SINTNICOLAAS,07 APR 1987,NED,5,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1151,10.79,7.40,13.07,1.97,48.10,14.40,39.70,5.00,60.30,4:28.41
1020,8159,Robert Jacob ARNOLD,03 JAN 1984,USA,5,Kladno (CZE),16 JUN 2010,1151,10.99,6.92,15.34,2.00,49.13,14.11,48.15,5.00,58.56,4:50.71
1022,8158,Mike MACZEY,28 SEP 1972,GER,6,"Olympiastadion, München (GER)",08 AUG 2002,1151,11.17,7.43,14.35,2.06,51.04,14.54,43.84,5.10,63.75,4:43.75
1022,8158,Rico FREIMUTH,14 MAR 1988,GER,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1151,10.79,7.11,14.65,1.94,48.22,14.05,46.25,4.76,60.33,4:44.39
1022,8158,Larbi BOURRADA,10 MAY 1988,ALG,10,"DS, Daegu (KOR)",28 AUG 2011,1151,10.88,7.42,13.11,1.96,47.34,14.56,37.84,4.90,59.00,4:14.97
1022,8158,Austin WEST,17 MAR 2000,USA,2,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,1151,10.86,7.40,14.34,2.02,46.97,14.59,44.01,4.21,59.73,4:26.26
1026,8157,Maurice SMITH,28 SEP 1980,JAM,1,Kladno (CZE),24 JUN 2009,1151,10.88,7.25,14.67,1.97,48.35,14.09,51.45,4.70,53.14,4:46.43
1026,8157,Maurice SMITH,28 SEP 1980,JAM,5,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1151,10.97,6.86,15.67,1.93,49.26,14.31,51.60,4.76,58.80,4:37.95
1026,8157,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,1,"Mestský Stadion, Ostrava (CZE)",15 JUL 2011,1151,11.29,7.68,13.31,2.07,48.64,14.68,37.73,5.10,63.57,4:35.84
1026,8157,Adam Sebastian HELCELET,27 OCT 1991,CZE,2,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1151,11.07,7.07,14.94,1.95,50.36,14.49,47.12,4.90,67.24,4:38.39
1026,8157,Maicel UIBO,27 DEC 1992,EST,9,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1151,11.38,7.15,14.83,2.06,51.05,14.64,45.99,4.90,65.80,4:31.00
1026,8157,Sven ROOSEN,27 JUL 2001,NED,11,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1151,10.58,7.15,14.42,1.82,46.83,14.32,43.94,4.70,56.62,4:21.52
1032,8156,Thorsten DAUTH,11 MAR 1968,GER,5,Götzis (AUT),16 JUN 1991,1150,10.63,7.14,15.76,2.08,48.06,14.47,43.68,4.20,60.80,4:42.26
1032,8156,Lev LOBODIN,01 APR 1969,UKR,6,Götzis (AUT),30 MAY 1993,1150,10.82,7.43,14.74,1.99,48.63,14.05,43.04,4.90,54.32,4:42.85
1032,8156,Leonel SUÁREZ,01 SEP 1987,CUB,1,Santiago de Cuba (CUB),11 MAR 2007,1150,10.8,7.25,12.80,2.14,49.0,14.2,42.10,4.30,70.35,4:27.1
1032,8156,Eelco SINTNICOLAAS,07 APR 1987,NED,1,Toruń (POL),06 JUL 2014,1150,11.13,7.34,14.01,1.89,48.77,14.00,39.28,5.30,58.36,4:24.62
1032,8156,Risto LILLEMETS,20 NOV 1997,EST,10,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1150,10.98,7.11,14.55,2.00,49.66,14.33,43.11,5.00,60.55,4:30.72
1037,8155,Alain BLONDEL,07 DEC 1962,FRA,3,Talence (FRA),01 JUL 1990,1150
1037,8155,Vitaliy KOLPAKOV,02 FEB 1972,UKR,6,Götzis (AUT),26 MAY 1996,1150,10.98,7.46,15.05,2.00,49.19,14.57,50.84,4.70,54.86,4:45.27
1037,8155,Mário Anibal RAMOS,25 MAR 1972,POR,12,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1150,10.84,7.11,15.35,2.00,48.46,14.45,44.22,5.00,53.23,4:36.64
1037,8155,Zachery ZIEMEK,23 FEB 1993,USA,2,"Sacramento, CA (USA)",23 JUN 2017,1150,10.69,7.69,13.57,2.04,50.20,14.84,42.30,5.30,56.01,4:47.61
1041,8154,Wilfrid BOULINEAU,13 MAY 1970,FRA,6,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1150,11.02,7.35,13.52,2.03,49.75,14.57,43.43,4.80,63.61,4:26.74
1041,8154,Aleksey DROZDOV,03 DEC 1983,RUS,11,"National Stadium, Beijing (CHN)",22 AUG 2008,1150,11.02,7.23,16.26,2.02,51.56,15.51,47.43,5.10,62.57,4:41.34
1041,8154,Ashton EATON,21 JAN 1988,USA,1,"Berkeley, CA (USA)",09 MAY 2010,1150,10.59,7.43,12.77,1.94,47.25,13.79,42.29,5.15,49.67,4:39.97
1041,8154,Mihail DUDAŠ,01 NOV 1989,SRB,4,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1150,10.81,7.36,13.64,1.97,48.02,14.78,43.55,4.80,59.98,4:27.54
1045,8153,Paul MEIER,27 JUL 1971,GER,5,Götzis (AUT),31 MAY 1992,1150,10.75,7.47,15.05,2.05,48.05,14.86,43.84,4.70,57.24,4:47.46
1045,8153,Robert DE WIT,07 AUG 1962,NED,6,Götzis (AUT),31 MAY 1992,1150,10.97,6.95,16.02,1.96,49.40,14.53,49.00,4.60,62.74,4:37.36
1045,8153,Philipp HUBER,18 FEB 1974,SUI,10,Götzis (AUT),04 JUN 2000,1150,11.00,7.32,14.19,1.88,48.80,14.78,44.60,5.05,59.44,4:21.06
1045,8153,Benjamin JENSEN,13 APR 1975,NOR,3,Talence (FRA),16 SEP 2001,1150
1045,8153,Mihail DUDAŠ,01 NOV 1989,SRB,3,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1150,10.90,7.44,14.24,2.01,49.45,14.55,45.65,4.70,58.19,4:30.90
1050,8152,Norbert DEMMEL,10 MAY 1963,FRG,3,Götzis (AUT),18 JUN 1989,1150,11.20,7.06,16.24,1.96,48.59,14.76,52.98,4.40,55.44,4:24.51
1050,8152,Eduard MIKHAN,07 JUN 1989,BLR,2,"Mestský Stadion, Ostrava (CZE)",15 JUL 2011,1150,10.77,7.54,13.98,1.95,48.02,14.80,44.54,4.60,57.10,4:23.67
1052,8151,Sebastian KNABE,13 OCT 1978,GER,3,"Stadionring, Ratingen (GER)",17 JUN 2001,1150,10.90,7.66,14.86,2.07,48.93,14.25,43.39,4.76,50.61,4:42.03
1052,8151,Arthur ABELE,30 JUL 1986,GER,1,"Bernhausen, Filderstadt (GER)",09 JUN 2013,1150,10.98,7.27,14.25,1.93,49.52,14.05,41.84,4.70,66.74,4:28.01
1052,8151,Solomon SIMMONS,26 SEP 1993,USA,8,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1150,10.70,7.37,15.33,1.96,49.31,14.10,46.26,4.80,53.25,4:44.17
1052,8151,Kai KAZMIREK,28 JAN 1991,GER,8,"Olympiastadion, München (GER)",16 AUG 2022,1150,11.15,7.25,14.09,2.02,48.24,14.42,45.18,5.00,61.23,4:46.82
1056,8150,Henrik DAGÅRD,07 AUG 1969,SWE,7,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1149,10.77,7.06,14.95,1.97,47.88,14.35,42.35,4.80,64.77,4:47.99
1057,8149,Paul MEIER,27 JUL 1971,GER,8,Götzis (AUT),28 MAY 1995,1149,11.27,7.40,15.79,2.08,49.63,14.92,46.02,4.70,4.70,4:47.79
1057,8149,Erki NOOL,25 JUN 1970,EST,8,Talence (FRA),17 SEP 1995,1149,10.70,7.71,14.59,1.85,48.26,15.21,40.94,5.30,64.46,4:55.91
1057,8149,Frank MÜLLER,18 JUN 1968,GER,4,Lage (GER),15 JUN 1996,1149,11.18,7.32,14.61,1.98,50.02,14.90,47.66,5.00,64.36,4:40.98
1057,8149,Zsolt KÜRTÖSI,21 MAR 1971,HUN,11,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1149,11.00,7.19,15.13,2.00,48.81,14.15,46.62,4.80,57.16,4:43.39
1057,8149,Mikk PAHAPILL,18 JUL 1983,EST,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 JUL 2005,1149,11.11,7.30,13.88,2.13,50.62,14.87,48.65,4.80,65.60,4:50.25
1057,8149,Risto LILLEMETS,20 NOV 1997,EST,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,1149,10.90,7.24,13.91,2.05,50.03,14.54,42.39,5.00,59.82,4:29.96
1063,8148,Viktor RADCHENKO,11 MAY 1968,UKR,7,Götzis (AUT),31 MAY 1992,1149,11.25,7.12,16.07,1.99,50.06,14.63,43.96,5.10,65.82,4:47.92
1063,8148,Larbi BOURRADA,10 MAY 1988,ALG,1,"Nyayo National Stadium, Nairobi (KEN)",29 JUL 2010,1149,10.78,7.43,13.59,2.04,47.35,14.82,36.30,4.80,65.53,4:36.04
1063,8148,Adam Sebastian HELCELET,27 OCT 1991,CZE,1,Hexham (GBR),26 JUL 2015,1149,11.07,7.11,15.29,2.04,50.62,14.39,46.50,4.90,61.45,4:42.33
1066,8147,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),24 MAY 1987,1149,11.31,7.69,14.94,2.17,49.58,15.11,46.14,4.20,60.92,4:31.05
1066,8147,Bastien AUZEIL,22 OCT 1989,FRA,10,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1149,11.02,7.28,15.90,1.97,49.57,14.42,43.58,4.80,64.41,4:46.19
1066,8147,Risto LILLEMETS,20 NOV 1997,EST,3,"Kadrioru staadion, Tallinn (EST)",26 JUN 2022,1149,10.83,7.03,13.66,1.98,48.95,14.23,43.59,5.02,59.27,4:30.26
1069,8146,Ryszard SKOWRONEK,01 MAY 1949,POL,1,Warszawa (POL),23 JUL 1972,1149
1069,8146,Beat GÄHWILER,26 JAN 1965,SUI,7,"Poljud Stadion, Split (CRO)",29 AUG 1990,1149,11.29,7.42,13.41,1.98,49.21,14.65,44.30,4.70,62.94,4:12.88
1069,8146,Mikhail MEDVED,30 JAN 1964,UKR,7,Götzis (AUT),30 MAY 1993,1149,11.16,7.14,16.21,2.02,49.94,14.38,50.82,4.90,55.66,4:52.33
1069,8146,Drew FUCCI,26 MAY 1967,USA,4,"Edwardsville, IL (USA)",18 JUL 1996,1149,10.73,7.61,13.55,2.02,49.66,13.97,40.98,5.00,60.48,4:54.54
1069,8146,Willem COERTZEN,30 DEC 1982,RSA,13,"Olympiastadion, Berlin (GER)",20 AUG 2009,1149,10.89,7.32,13.16,2.02,48.63,14.26,42.40,4.60,65.46,4:32.57
1069,8146,Gaël QUERIN,26 JUN 1987,FRA,1,Paris (FRA),13 JUL 2013,1149,11.11,7.45,13.36,1.96,48.30,14.33,39.70,4.90,58.16,4:13.42
1069,8146,Luca WIELAND,07 DEC 1994,GER,3,"Eugene, OR (USA)",08 JUN 2017,1149,10.56,7.66,13.79,2.16,49.54,14.60,42.83,4.71,50.09,4:41.12
1076,8145,Damian WARNER,04 NOV 1989,CAN,1,Moncton (CAN),21 JUN 2013,1149,10.67,7.38,14.14,2.04,48.72,14.23,43.72,4.60,61.29,4:49.79
1076,8145,Timothy DUCKWORTH,18 JUN 1996,GBR,2,"Athens, GA (USA)",07 APR 2018,1149,10.40,8.03,13.71,2.13,48.92,14.59,44.12,4.67,54.60,5:17.98
1078,8144,Martin ROE,01 APR 1992,NOR,1,Monzón (ESP),02 JUL 2017,1149,10.79,7.33,15.44,1.92,49.64,15.37,49.19,4.50,66.13,4:34.60
1079,8143,Petri KESKITALO,10 MAR 1967,FIN,11,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1148,10.94,7.56,15.34,1.97,49.94,14.25,41.86,4.80,66.64,4:55.89
1079,8143,Dean MACEY,12 DEC 1977,GBR,1,Melbourne (AUS),21 MAR 2006,1148,11.17,7.28,15.83,2.08,49.63,14.94,46.76,4.70,56.93,4:34.22
1081,8142,Frédéric XHONNEUX,11 MAY 1983,BEL,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",11 MAY 2008,1148,11.42,7.33,14.79,1.95,49.60,15.05,45.36,4.95,63.56,4:20.53
1081,8142,Jan DOLEŽAL,06 JUN 1996,CZE,1,Zlín (CZE),02 JUN 2019,1148,11.02,7.34,14.50,2.02,49.05,14.63,46.14,4.80,62.51,4:46.47
1081,8142,Andreas BECHMANN,28 SEP 1999,GER,1,"Kadrioru staadion, Tallinn (EST)",11 JUL 2021,1148,10.91,7.72,15.81,2.02,47.90,15.51,42.51,4.80,55.02,4:40.44
1084,8141,Christian SCHENK,09 FEB 1965,GDR,4,Krefeld (GER),08 SEP 1985,1148,11.30,7.57,14.27,2.16,48.93,15.04,40.02,4.20,67.14,4:21.38
1084,8141,Robert Jacob ARNOLD,03 JAN 1984,USA,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 2010,1148,11.25,6.93,15.67,1.95,50.02,14.22,48.80,5.15,56.46,4:36.50
1084,8141,Yordani GARCÍA,21 NOV 1988,CUB,1,Ottawa (CAN),02 JUN 2013,1148,10.77,7.28,14.54,2.03,49.47,14.21,41.78,4.80,59.47,4:38.67
1084,8141,Ashley BRYANT,17 MAY 1991,GBR,8,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1148,11.09,7.52,13.77,1.94,49.10,14.38,43.31,4.56,69.65,4:33.83
1084,8141,Makenson GLETTY,02 APR 1999,FRA,4,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,1148,10.67,7.18,14.88,1.96,49.56,14.43,44.59,4.80,56.95,4:29.74
1084,8141,Daniel GOLUBOVIC,29 NOV 1993,AUS,12,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1148,11.10,7.09,15.14,1.93,49.87,14.18,48.47,4.80,58.95,4:29.51
1090,8140,Indrek KASEORG,16 DEC 1967,EST,11,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1148,11.39,7.16,13.87,2.03,48.66,14.49,41.64,4.90,63.34,4:20.82
1090,8140,Klaus ISEKENMEIER,14 APR 1975,GER,9,"Népstadion, Budapest (HUN)",20 AUG 1998,1148,11.03,7.42,15.22,1.79,48.29,14.50,51.28,4.60,61.65,4:37.95
1090,8140,Zsolt KÜRTÖSI,21 MAR 1971,HUN,9,"Népstadion, Budapest (HUN)",20 AUG 1998,1148,11.19,7.26,14.90,2.03,49.07,14.39,46.38,4.70,58.05,4:33.14
1090,8140,Paweł WIESIOŁEK,13 AUG 1991,POL,11,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1148,10.97,7.61,14.55,2.00,49.80,14.78,46.20,4.70,59.35,4:35.81
