Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
1006,8161,Eelco SINTNICOLAAS,07 APR 1987,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",03 MAY 2014,7.27,43.38,61.82,4:35.23,23.66,3730
1006,8161,Pierce LEPAGE,22 JAN 1996,CAN,3,Lima (PER),07 AUG 2019,7.64,38.85,54.57,5:01.67,23.31,3342
1006,8161,Paweł WIESIOŁEK,13 AUG 1991,POL,8,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.38,46.27,56.58,4:35.70,23.75,3715
1006,8161,Joe DELGADO,08 JAN 1995,USA,5,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.34,43.92,58.69,4:20.93,23.75,3877
1015,8160,Ramil GANIYEV,23 SEP 1968,EUN,8,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.49,45.08,54.7,4:42.20,24.33,3531
1015,8160,Benjamin JENSEN,13 APR 1975,NOR,1,Roskilde (DEN),01 AUG 1999,7.21,43.83,59.01,4:34.84,23.72,3682
1015,8160,Keisuke USHIRO,24 JUL 1986,JPN,1,Wakayama (JPN),01 MAY 2016,7.18,48.12,66.71,4:37.77,24.24,3757
1015,8160,Timothy DUCKWORTH,18 JUN 1996,GBR,5,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.57,41.94,54.78,4:58.28,23.23,3439
1015,8160,Tim NOWAK,13 AUG 1995,GER,2,"Stadionring, Ratingen (GER)",08 MAY 2022,7.09,44.62,57.95,4:21.31,23.70,3827
1020,8159,Eelco SINTNICOLAAS,07 APR 1987,NED,5,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.4,39.7,60.3,4:28.41,24.46,3647
1020,8159,Robert Jacob ARNOLD,03 JAN 1984,USA,5,Kladno (CZE),16 JUN 2010,6.92,48.15,58.56,4:50.71,23.27,3555
1022,8158,Mike MACZEY,28 SEP 1972,GER,6,"Olympiastadion, München (GER)",08 AUG 2002,7.43,43.84,63.75,4:43.75,23.03,3778
1022,8158,Rico FREIMUTH,14 MAR 1988,GER,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.11,46.25,60.33,4:44.39,22.90,3715
1022,8158,Larbi BOURRADA,10 MAY 1988,ALG,10,"DS, Daegu (KOR)",28 AUG 2011,7.42,37.84,59,4:14.97,23.37,3912
1022,8158,Austin WEST,17 MAR 2000,USA,2,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,7.4,44.01,59.73,4:26.26,23.73,3842
1026,8157,Maurice SMITH,28 SEP 1980,JAM,1,Kladno (CZE),24 JUN 2009,7.25,51.45,53.14,4:46.43,23.74,3601
1026,8157,Maurice SMITH,28 SEP 1980,JAM,5,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,6.86,51.6,58.8,4:37.95,24.17,3647
1026,8157,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,1,"Mestský Stadion, Ostrava (CZE)",15 JUL 2011,7.68,37.73,63.57,4:35.84,24.60,3606
1026,8157,Adam Sebastian HELCELET,27 OCT 1991,CZE,2,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,7.07,47.12,67.24,4:38.39,22.66,3926
1026,8157,Maicel UIBO,27 DEC 1992,EST,9,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.15,45.99,65.8,4:31.00,23.11,3934
1026,8157,Sven ROOSEN,27 JUL 2001,NED,11,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.15,43.94,56.62,4:21.52,23.42,3844
1032,8156,Thorsten DAUTH,11 MAR 1968,GER,5,Götzis (AUT),16 JUN 1991,7.14,43.68,60.8,4:42.26,23.53,3622
1032,8156,Lev LOBODIN,01 APR 1969,UKR,6,Götzis (AUT),30 MAY 1993,7.43,43.04,54.32,4:42.85,23.68,3555
1032,8156,Leonel SUÁREZ,01 SEP 1987,CUB,1,Santiago de Cuba (CUB),11 MAR 2007,7.25,42.1,70.35,4:27.1,23.87,3895
1032,8156,Risto LILLEMETS,20 NOV 1997,EST,10,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.11,43.11,60.55,4:30.72,23.72,3720
1037,8155,Vitaliy KOLPAKOV,02 FEB 1972,UKR,6,Götzis (AUT),26 MAY 1996,7.46,50.84,54.86,4:45.27,23.86,3657
1037,8155,Mário Anibal RAMOS,25 MAR 1972,POR,12,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.11,44.22,53.23,4:36.64,23.93,3536
1037,8155,Zachery ZIEMEK,23 FEB 1993,USA,2,"Sacramento, CA (USA)",23 JUN 2017,7.69,42.3,56.01,4:47.61,24.53,3448
1041,8154,Wilfrid BOULINEAU,13 MAY 1970,FRA,6,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.35,43.43,63.61,4:26.74,22.81,3993
1041,8154,Aleksey DROZDOV,03 DEC 1983,RUS,11,"National Stadium, Beijing (CHN)",22 AUG 2008,7.23,47.43,62.57,4:41.34,23.21,3790
1041,8154,Ashton EATON,21 JAN 1988,USA,1,"Berkeley, CA (USA)",09 MAY 2010,7.43,42.29,49.67,4:39.97,23.18,3578
1041,8154,Mihail DUDAŠ,01 NOV 1989,SRB,4,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,7.36,43.55,59.98,4:27.54,23.78,3806
1045,8153,Paul MEIER,27 JUL 1971,GER,5,Götzis (AUT),31 MAY 1992,7.47,43.84,57.24,4:47.46,23.60,3572
1045,8153,Philipp HUBER,18 FEB 1974,SUI,10,Götzis (AUT),04 JUN 2000,7.32,44.6,59.44,4:21.06,23.75,3894
1045,8153,Mihail DUDAŠ,01 NOV 1989,SRB,3,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,7.44,45.65,58.19,4:30.90,23.19,3874
1050,8152,Norbert DEMMEL,10 MAY 1963,FRG,3,Götzis (AUT),18 JUN 1989,7.06,52.98,55.44,4:24.51,23.58,3915
1050,8152,Eduard MIKHAN,07 JUN 1989,BLR,2,"Mestský Stadion, Ostrava (CZE)",15 JUL 2011,7.54,44.54,57.1,4:23.67,23.83,3864
1052,8151,Sebastian KNABE,13 OCT 1978,GER,3,"Stadionring, Ratingen (GER)",17 JUN 2001,7.66,43.39,50.61,4:42.03,23.57,3584
1052,8151,Arthur ABELE,30 JUL 1986,GER,1,"Bernhausen, Filderstadt (GER)",09 JUN 2013,7.27,41.84,66.74,4:28.01,23.51,3881
1052,8151,Solomon SIMMONS,26 SEP 1993,USA,8,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.37,46.26,53.25,4:44.17,23.14,3642
1052,8151,Kai KAZMIREK,28 JAN 1991,GER,8,"Olympiastadion, München (GER)",16 AUG 2022,7.25,45.18,61.23,4:46.82,24.06,3552
1056,8150,Henrik DAGÅRD,07 AUG 1969,SWE,7,"La Cartuja, Sevilla (ESP)",25 AUG 1999,7.06,42.35,64.77,4:47.99,23.22,3607
1057,8149,Paul MEIER,27 JUL 1971,GER,8,Götzis (AUT),28 MAY 1995,7.4,46.02,4.7,4:47.79,24.13,2782
1057,8149,Erki NOOL,25 JUN 1970,EST,8,Talence (FRA),17 SEP 1995,7.71,40.94,64.46,4:55.91,23.60,3567
1057,8149,Frank MÜLLER,18 JUN 1968,GER,4,Lage (GER),15 JUN 1996,7.32,47.66,64.36,4:40.98,24.28,3700
1057,8149,Zsolt KÜRTÖSI,21 MAR 1971,HUN,11,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.19,46.62,57.16,4:43.39,23.94,3567
1057,8149,Mikk PAHAPILL,18 JUL 1983,EST,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 JUL 2005,7.3,48.65,65.6,4:50.25,24.19,3628
1057,8149,Risto LILLEMETS,20 NOV 1997,EST,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,7.24,42.39,59.82,4:29.96,22.97,3835
1063,8148,Viktor RADCHENKO,11 MAY 1968,UKR,7,Götzis (AUT),31 MAY 1992,7.12,43.96,65.82,4:47.92,24.25,3527
1063,8148,Larbi BOURRADA,10 MAY 1988,ALG,1,"Nyayo National Stadium, Nairobi (KEN)",29 JUL 2010,7.43,36.3,65.53,4:36.04,24.07,3622
1063,8148,Adam Sebastian HELCELET,27 OCT 1991,CZE,1,Hexham (GBR),26 JUL 2015,7.11,46.5,61.45,4:42.33,23.87,3630
1066,8147,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),24 MAY 1987,7.69,46.14,60.92,4:31.05,23.54,3927
1066,8147,Risto LILLEMETS,20 NOV 1997,EST,3,"Kadrioru staadion, Tallinn (EST)",26 JUN 2022,7.03,43.59,59.27,4:30.26,23.93,3672
1069,8146,Beat GÄHWILER,26 JAN 1965,SUI,7,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.42,44.3,62.94,4:12.88,23.71,4067
1069,8146,Mikhail MEDVED,30 JAN 1964,UKR,7,Götzis (AUT),30 MAY 1993,7.14,50.82,55.66,4:52.33,23.47,3563
1069,8146,Drew FUCCI,26 MAY 1967,USA,4,"Edwardsville, IL (USA)",18 JUL 1996,7.61,40.98,60.48,4:54.54,23.51,3520
1069,8146,Willem COERTZEN,30 DEC 1982,RSA,13,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.32,42.4,65.46,4:32.57,23.55,3822
1069,8146,Gaël QUERIN,26 JUN 1987,FRA,1,Paris (FRA),13 JUL 2013,7.45,39.7,58.16,4:13.42,23.35,3963
1069,8146,Luca WIELAND,07 DEC 1994,GER,3,"Eugene, OR (USA)",08 JUN 2017,7.66,42.83,50.09,4:41.12,23.24,3622
1076,8145,Damian WARNER,04 NOV 1989,CAN,1,Moncton (CAN),21 JUN 2013,7.38,43.72,61.29,4:49.79,23.74,3560
1076,8145,Timothy DUCKWORTH,18 JUN 1996,GBR,2,"Athens, GA (USA)",07 APR 2018,8.03,44.12,54.6,5:17.98,23.94,3235
1078,8144,Martin ROE,01 APR 1992,NOR,1,Monzón (ESP),02 JUL 2017,7.33,49.19,66.13,4:34.60,23.99,3874
1079,8143,Petri KESKITALO,10 MAR 1967,FIN,11,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.56,41.86,66.64,4:55.89,24.15,3509
1079,8143,Dean MACEY,12 DEC 1977,GBR,1,Melbourne (AUS),21 MAR 2006,7.28,46.76,56.93,4:34.22,23.70,3732
1081,8142,Frédéric XHONNEUX,11 MAY 1983,BEL,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",11 MAY 2008,7.33,45.36,63.56,4:20.53,23.24,4043
1081,8142,Jan DOLEŽAL,06 JUN 1996,CZE,1,Zlín (CZE),02 JUN 2019,7.34,46.14,62.51,4:46.47,23.84,3641
1081,8142,Andreas BECHMANN,28 SEP 1999,GER,1,"Kadrioru staadion, Tallinn (EST)",11 JUL 2021,7.72,42.51,55.02,4:40.44,24.17,3582
1084,8141,Christian SCHENK,09 FEB 1965,GDR,4,Krefeld (GER),08 SEP 1985,7.57,40.02,67.14,4:21.38,23.67,3979
1084,8141,Robert Jacob ARNOLD,03 JAN 1984,USA,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 2010,6.93,48.8,56.46,4:36.50,23.76,3651
1084,8141,Yordani GARCÍA,21 NOV 1988,CUB,1,Ottawa (CAN),02 JUN 2013,7.28,41.78,59.47,4:38.67,23.63,3631
1084,8141,Ashley BRYANT,17 MAY 1991,GBR,8,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.52,43.31,69.65,4:33.83,24.02,3862
1084,8141,Makenson GLETTY,02 APR 1999,FRA,4,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,7.18,44.59,56.95,4:29.74,23.81,3712
1084,8141,Daniel GOLUBOVIC,29 NOV 1993,AUS,12,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.09,48.47,58.95,4:29.51,23.45,3843
1090,8140,Indrek KASEORG,16 DEC 1967,EST,11,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.16,41.64,63.34,4:20.82,23.82,3854
1090,8140,Klaus ISEKENMEIER,14 APR 1975,GER,9,"Népstadion, Budapest (HUN)",20 AUG 1998,7.42,51.28,61.65,4:37.95,23.91,3837
1090,8140,Zsolt KÜRTÖSI,21 MAR 1971,HUN,9,"Népstadion, Budapest (HUN)",20 AUG 1998,7.26,46.38,58.05,4:33.14,24.39,3658
1090,8140,Paweł WIESIOŁEK,13 AUG 1991,POL,11,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.61,46.2,59.35,4:35.81,24.22,3738
1090,8140,Kyle GARLAND,28 MAY 2000,USA,6,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.65,43.97,56.19,4:56.72,23.47,3501
1095,8139,Mike MACZEY,28 SEP 1972,GER,1,"Bernhausen, Filderstadt (GER)",22 JUL 2001,7.45,42.88,64.85,4:34.08,23.60,3825
1095,8139,Arthur ABELE,30 JUL 1986,GER,3,"Stadionring, Ratingen (GER)",29 JUN 2014,7.26,43.89,66.29,4:42.55,23.92,3674
1097,8138,Siegfried WENTZ,07 MAR 1960,FRG,3,Götzis (AUT),17 JUN 1990,7.28,41.82,60.08,4:34.51,23.73,3678
1097,8138,Lev LOBODIN,01 APR 1969,RUS,1,Huddinge (SWE),04 JUL 1999,7.74,47.45,52.73,4:51.81,23.56,3585
1097,8138,Romain BARRAS,01 AUG 1980,FRA,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,7.1,43.51,61.75,4:28.91,23.05,3855
1097,8138,Romain MARTIN,12 JUL 1988,FRA,1,Oyonnax (FRA),15 JUN 2014,7.47,36.25,65.72,4:38.57,23.71,3649
1101,8137,Karl Robert SALURI,06 AUG 1993,EST,2,"Eugene, OR (USA)",07 JUN 2018,7.7,42.95,56.91,4:24.49,24.21,3806
1102,8136,Sten EKBERG,25 DEC 1964,SWE,9,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.02,45.76,62.22,4:29.11,23.34,3844
1102,8136,Sébastien LEVICQ,25 JUN 1971,FRA,9,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.16,41.82,62.96,4:30.62,23.55,3766
1102,8136,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,6,"New York, NY (USA)",20 JUL 1998,7.28,45.81,54.32,4:57.55,24.33,3302
1102,8136,Mário Anibal RAMOS,25 MAR 1972,POR,12,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,6.9,45.01,57.51,4:32.68,23.59,3660
1102,8136,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,6,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.13,43.99,66.02,4:27.99,23.61,3867
1102,8136,Gunnar NIXON,13 JAN 1993,USA,3,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,7.23,41.7,60.12,4:29.75,24.27,3653
1108,8135,Klaus ISEKENMEIER,14 APR 1975,GER,10,Götzis (AUT),31 MAY 1998,7.39,44.94,64.12,4:38.73,22.99,3863
1108,8135,Jack ROSENDAAL,12 SEP 1973,NED,11,"Népstadion, Budapest (HUN)",20 AUG 1998,7.02,42.7,63.89,4:20.39,23.89,3847
1108,8135,Steven BASTIEN,04 MAR 1994,USA,4,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,7.67,37.41,52.83,4:30.75,23.97,3594
1111,8134,Paul TEREK,20 OCT 1979,USA,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",06 MAY 2007,7.28,45.62,58.23,4:27.55,23.95,3779
1111,8134,Romain BARRAS,01 AUG 1980,FRA,11,"DS, Daegu (KOR)",28 AUG 2011,7.06,41.65,63.25,4:29.19,23.49,3771
1113,8133,Jürgen HINGSEN,15 APR 1958,FRG,10,Götzis (AUT),19 JUN 1988,7.65,44.84,62.32,4:28.74,24.06,3873
1113,8133,Chad SMITH,09 JAN 1974,USA,1,"Atlanta, GA (USA)",17 MAY 2002,7.18,46.32,58.53,4:45.81,23.94,3548
1113,8133,Risto LILLEMETS,20 NOV 1997,EST,1,"Kadrioru staadion, Tallinn (EST)",09 AUG 2020,7.22,46.39,63.84,4:42.18,23.67,3714
1113,8133,Kyle GARLAND,28 MAY 2000,USA,2,"Tom Black Track at LaPorte Stadium, Knoxville, TN (USA)",08 APR 2022,7.28,46.24,56.79,4:55.10,23.32,3511
1113,8133,Kyle GARLAND,28 MAY 2000,USA,11,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.41,45.44,53.23,4:58.94,23.13,3452
1118,8132,Oleksiy KASYANOV,26 AUG 1985,UKR,12,"DS, Daegu (KOR)",28 AUG 2011,7.59,43.74,52.16,4:29.35,22.84,3853
1118,8132,Andreas BECHMANN,28 SEP 1999,GER,1,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",15 SEP 2019,7.58,36.93,61.43,4:48.58,23.14,3576
1118,8132,Johannes ERM,26 MAR 1998,EST,1,"Ole Miss T&F Complex, Oxford, MS (USA)",13 MAY 2022,7.16,45.18,52.65,4:38.61,23.91,3534
1121,8131,Gernot KELLERMAYR,05 APR 1966,AUT,8,Götzis (AUT),31 MAY 1992,7.67,42.32,54.5,4:46.48,23.68,3551
1121,8131,Alexander KRUGER,18 NOV 1963,GBR,2,Valladolid (ESP),02 JUL 1995,7.3,45.36,57.9,4:34.83,23.25,3777
1121,8131,Indrek KASEORG,16 DEC 1967,EST,2,Helmond (NED),02 JUL 1995,7.3,43.96,60.84,4:21.13,23.71,3902
1121,8131,Devon WILLIAMS,17 JAN 1994,USA,3,"Sacramento, CA (USA)",23 JUN 2017,7.74,45.63,52.56,5:05.44,23.77,3351
1121,8131,Martin ROE,01 APR 1992,NOR,6,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.61,42.22,64.53,4:41.40,23.47,3769
1121,8131,Vitaliy ZHUK,10 SEP 1996,BLR,13,"National Stadium, Tokyo (JPN)",05 AUG 2021,6.93,47.01,59.49,4:42.57,22.91,3699
1121,8131,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",24 MAR 2022,7.26,50.88,49,4:48.99,23.63,3517
1128,8130,Dan STEELE,20 MAR 1969,USA,8,"La Cartuja, Sevilla (ESP)",25 AUG 1999,6.75,50.35,65.5,4:38.03,23.08,3840
1128,8130,Robert Jacob ARNOLD,03 JAN 1984,USA,4,"Eugene, OR (USA)",30 JUN 2008,6.91,46.02,57.85,4:31.61,24.01,3643
1128,8130,Kai KAZMIREK,28 JAN 1991,GER,1,Marburg (GER),22 JUL 2012,7.4,39.47,56.52,4:35.09,22.84,3723
1128,8130,Artem LUKYANENKO,30 JAN 1990,RUS,2,Smolensk (RUS),10 JUN 2017,6.95,44.67,58.81,4:37.24,23.94,3579
1128,8130,Ayden OWENS-DELERME,28 MAY 2000,PUR,1f4,"Azusa, CA (USA)",18 APR 2019,7.53,43.14,51.21,4:28.90,23.38,3749
1128,8130,Solomon SIMMONS,26 SEP 1993,USA,1,"Dallas, TX (USA)",02 JUN 2019,7.4,44.07,65.7,4:43.54,24.07,3666
1134,8129,Norman MÜLLER,07 AUG 1985,GER,6,"Stadionring, Ratingen (GER)",25 JUN 2006,7.52,42.08,60.79,4:30.27,23.82,3786
1135,8128,Jaime PEÑAS,30 JAN 1972,ESP,1,Alhama de Murcia (ESP),01 JUN 1997,7.6,44.74,60.2,5:01.96,23.11,3544
1135,8128,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,Talence (FRA),22 SEP 2002,7.63,45.47,61.43,5:07.87,22.99,3523
1135,8128,Manuel EITEL,28 JAN 1997,GER,9,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.32,41.9,57.27,4:50.48,23.82,3438
1135,8128,Sven ROOSEN,27 JUL 2001,NED,3,"Leppävaaran Stadion, Espoo (FIN)",16 JUL 2023,7.16,42.13,60.38,4:20.12,23.92,3816
1139,8127,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,1,"College Station, TX (USA)",13 MAR 1999,6.94,44.16,63.78,4:27.64,23.88,3765
1139,8127,Florian SCHÖNBECK,13 JAN 1974,GER,1,Wesel (GER),03 SEP 2000,7.28,42.22,64.7,4:29.74,23.78,3804
1139,8127,Romain BARRAS,01 AUG 1980,FRA,1,Almería (ESP),30 JUN 2005,7.19,42.22,64.67,4:28.48,24.24,3738
1142,8126,Haifeng QI,07 AUG 1983,CHN,7,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.39,46.72,59.98,4:25.40,24.05,3861
1142,8126,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,9,Götzis (AUT),30 MAY 2004,7.14,46.9,60.89,4:33.04,23.37,3819
1142,8126,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Olympic Stadium, London (GBR)",09 AUG 2012,7.15,44.71,64.8,4:37.46,23.45,3770
1142,8126,Ruben GADO,13 DEC 1993,FRA,1,Albi (FRA),07 JUL 2018,7.55,39.87,56.41,4:20.86,23.76,3816
1142,8126,Kai KAZMIREK,28 JAN 1991,GER,14,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.48,42.7,63.76,4:48.30,23.80,3608
1142,8126,Sander SKOTHEIM,31 MAY 2002,NOR,1,"Hamar idrettspark, Hamar (NOR)",22 MAY 2022,7.65,42.71,58.9,4:33.78,23.58,3787
1148,8125,Frank MÜLLER,18 JUN 1968,GER,7,Götzis (AUT),26 MAY 1996,7.11,47.26,62.26,4:39.55,23.57,3731
1148,8125,Eduard MIKHAN,07 JUN 1989,BLR,2,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,7.47,48.36,48.53,4:27.94,24.55,3649
1148,8125,Jorge UREÑA,08 OCT 1993,ESP,9,"Olympic Stadium, London (GBR)",12 AUG 2017,7.3,36.33,56.06,4:26.46,24.12,3573
1148,8125,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,9,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.2,46.17,63.67,4:43.95,23.54,3699
1152,8124,Phil MCMULLEN,03 FEB 1975,USA,1,"Berkeley, CA (USA)",07 MAY 2004,6.88,50.45,54.84,4:17.81,24.45,3788
1152,8124,Kristjan RAHNU,29 AUG 1979,EST,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,7.19,47.72,63.95,5:01.35,23.68,3493
1152,8124,Aleksey DROZDOV,03 DEC 1983,RUS,3,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,7.35,48.45,62.03,4:50.39,23.84,3630
1152,8124,Gaël QUERIN,26 JUN 1987,FRA,2,Reims (FRA),12 JUL 2014,7.52,40.5,49.83,4:15.55,23.88,3778
1152,8124,Zachery ZIEMEK,23 FEB 1993,USA,10,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.43,47.81,48.07,4:41.56,24.61,3445
1157,8123,Dezső SZABÓ,04 SEP 1967,HUN,4,Tallinn (EST),29 JUN 1997,7.32,41.84,55.26,4:27.37,24.32,3629
1157,8123,Maicel UIBO,27 DEC 1992,EST,2,"Athens, GA (USA)",11 APR 2014,7.36,46.56,58.56,4:38.45,23.29,3771
1157,8123,Yevgeniy SARANTSEV,05 FEB 1988,RUS,1,"Adler, Sochi (RUS)",16 MAY 2014,7.19,42.6,66.44,4:35.09,23.49,3788
1157,8123,Jorge UREÑA,08 OCT 1993,ESP,10,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.34,37.74,57.03,4:28.71,23.73,3646
1161,8122,Klaus AMBROSCH,23 MAY 1973,AUT,6,Götzis (AUT),27 MAY 2001,7.39,39.52,68.15,4:36.36,23.94,3722
1161,8122,Indrek TURI,30 JUL 1981,EST,2,Daegu (KOR),29 AUG 2003,7.01,40.23,62.84,4:39.69,22.76,3695
1161,8122,Bryan CLAY,03 JAN 1980,USA,2,Talence (FRA),26 SEP 2004,7.4,50.72,60.15,5:01.54,23.95,3502
1161,8122,Ashton EATON,21 JAN 1988,USA,5,"Eugene, OR (USA)",30 JUN 2008,7.49,39.69,47.28,4:20.56,23.79,3670
1161,8122,Tim NOWAK,13 AUG 1995,GER,10,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.07,45.02,56.76,4:22.18,24.45,3702
1161,8122,Jiří SÝKORA,20 JAN 1995,CZE,1,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,7.3,48.86,66.91,4:51.42,23.56,3720
1169,8121,Michael SMITH,16 SEP 1967,CAN,4,Götzis (AUT),18 JUN 1989,7.32,43.58,67.58,4:25.66,23.91,3911
1169,8121,Jiří SÝKORA,20 JAN 1995,CZE,6,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.41,45.21,58.64,4:36.47,23.34,3776
1169,8121,Manuel EITEL,28 JAN 1997,GER,2,"Stadionring, Ratingen (GER)",17 JUN 2018,7.37,43.14,61.67,4:41.56,23.75,3654
1173,8120,Paul TEREK,20 OCT 1979,USA,10,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.26,44.81,55.96,4:37.38,23.65,3646
1173,8120,Hans VAN ALPHEN,12 JAN 1982,BEL,2,Kladno (CZE),16 JUN 2011,7.45,43.67,66.21,4:21.78,23.33,4048
1173,8120,Jiří SÝKORA,20 JAN 1995,CZE,11,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.33,47.38,61.06,4:57.01,24.34,3442
1173,8120,Larbi BOURRADA,10 MAY 1988,ALG,1,"Mestský Stadion Sletište, Kladno (CZE)",18 JUN 2017,7.26,40.17,62.49,4:32.34,24.48,3604
1173,8120,Marcus NILSSON,03 MAY 1991,SWE,3,"Stadionring, Ratingen (GER)",17 JUN 2018,6.95,45.07,63.68,4:24.62,23.55,3865
1179,8119,Aleksandr POGORELOV,10 JAN 1980,RUS,4,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,7.32,45.25,60.8,4:48.71,23.23,3650
1179,8119,Andres RAJA,02 JUN 1982,EST,14,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.38,42.75,57.73,4:40.73,23.49,3639
1179,8119,Aleksandr KOMAROV,04 MAR 2001,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",27 MAY 2023,7.38,44.45,58.44,4:43.74,24.03,3570
1182,8118,Siegfried WENTZ,07 MAR 1960,FRG,5,Krefeld (GER),08 SEP 1985,7.63,43.02,58.82,4:56.76,23.59,3499
1182,8118,Oleksandr YURKOV,21 JUL 1975,UKR,1,Oulu (FIN),02 JUL 2000,7.46,48.17,52.77,4:36.94,23.13,3781
1182,8118,Andres RAJA,02 JUN 1982,EST,12,"National Stadium, Beijing (CHN)",22 AUG 2008,7.29,39.83,67.16,4:49.60,23.93,3529
1182,8118,Michael MORRISON,18 MAR 1988,USA,1,"Des Moines, IA (USA)",10 JUN 2011,7.52,41.82,60.47,4:35.35,23.78,3719
1182,8118,Florian GEFFROUAIS,05 DEC 1988,FRA,13,Angers (FRA),16 JUN 2012,7.04,47.65,58.44,4:17.97,23.01,4013
1182,8118,Willem COERTZEN,30 DEC 1982,RSA,2,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,7.51,43.05,66.04,4:29.85,23.34,3945
1182,8118,Felix WOLTER,04 OCT 1997,GER,5,"Stadionring, Ratingen (GER)",18 JUN 2023,7.69,40.09,56.93,4:39.22,22.96,3735
1189,8117,Jaakko OJANIEMI,28 AUG 1980,FIN,5,Götzis (AUT),02 JUN 2002,7.55,40.29,63.03,4:46.35,23.91,3578
